  oid  |                typname                
 11768 | pg_replication_slots
 11772 | pg_stat_database
 11775 | pg_stat_database_conflicts
 11778 | pg_stat_user_functions
 11782 | pg_stat_xact_user_functions
 11786 | pg_stat_archiver
 11789 | pg_stat_bgwriter
 11792 | pg_stat_progress_vacuum
 11796 | pg_user_mappings
 11800 | pg_replication_origin_status
 12785 | cardinal_number
 12784 | _cardinal_number
 12788 | character_data
 12787 | _character_data
 12790 | sql_identifier
 12789 | _sql_identifier
 12792 | information_schema_catalog_name
 12795 | time_stamp
 12794 | _time_stamp
 12797 | yes_or_no
 12796 | _yes_or_no
 12800 | applicable_roles
 12804 | administrable_role_authorizations
 12807 | attributes
 12811 | character_sets
 12815 | check_constraint_routine_usage
 12819 | check_constraints
 12823 | collations
 12827 | collation_character_set_applicability
 12831 | column_domain_usage
 12835 | column_privileges
 12839 | column_udt_usage
 12843 | columns
 12847 | constraint_column_usage
 12851 | constraint_table_usage
 12855 | domain_constraints
 12859 | domain_udt_usage
 12863 | domains
 12867 | enabled_roles
 12870 | key_column_usage
 12874 | parameters
 12878 | referential_constraints
 12882 | role_column_grants
 12885 | routine_privileges
 12889 | role_routine_grants
 12892 | routines
 12896 | schemata
 12899 | sequences
 12903 | sql_features
 12905 | pg_toast_12902
 12908 | sql_implementation_info
 12910 | pg_toast_12907
 12913 | sql_languages
 12915 | pg_toast_12912
 12918 | sql_packages
 12920 | pg_toast_12917
 12923 | sql_parts
 12925 | pg_toast_12922
 12928 | sql_sizing
 12930 | pg_toast_12927
 12933 | sql_sizing_profiles
 12935 | pg_toast_12932
 12938 | table_constraints
 12942 | table_privileges
 12946 | role_table_grants
 12949 | tables
 12953 | transforms
 12957 | triggered_update_columns
 12961 | triggers
 12965 | udt_privileges
 12969 | role_udt_grants
 12972 | usage_privileges
 12976 | role_usage_grants
 12979 | user_defined_types
 12983 | view_column_usage
 12987 | view_routine_usage
 12991 | view_table_usage
 12995 | views
 12999 | data_type_privileges
 13003 | element_types
 13007 | _pg_foreign_table_columns
 13011 | column_options
 13014 | _pg_foreign_data_wrappers
 13017 | foreign_data_wrapper_options
 13020 | foreign_data_wrappers
 13023 | _pg_foreign_servers
 13027 | foreign_server_options
 13030 | foreign_servers
 13033 | _pg_foreign_tables
 13037 | foreign_table_options
 13040 | foreign_tables
 13043 | _pg_user_mappings
 13047 | user_mapping_options
 13051 | user_mappings
(380 rows)

